country,year,sex,age,suicides_no,population,HDI for year,gdp_for_year,generation
Albania,1993,male,75+ years,1,24200,,1228071038,G.I. Generation
Albania,1993,male,25-34 years,9,230100,,1228071038,Boomers
Albania,1993,female,15-24 years,10,285300,,1228071038,Generation X
Albania,1993,male,35-54 years,10,350300,,1228071038,Boomers
Albania,1993,female,25-34 years,7,261800,,1228071038,Boomers
Albania,1993,female,35-54 years,7,331200,,1228071038,Boomers
Albania,1993,female,55-74 years,2,169500,,1228071038,Silent
Albania,1993,female,5-14 years,1,340300,,1228071038,Millenials
Albania,1993,male,5-14 years,1,367000,,1228071038,Millenials
Albania,1993,female,75+ years,0,39300,,1228071038,G.I. Generation
Albania,1994,male,75+ years,2,24600,,1985673798,G.I. Generation
Albania,1994,male,55-74 years,11,171400,,1985673798,Silent
Albania,1994,female,75+ years,2,39900,,1985673798,G.I. Generation
Albania,1994,male,25-34 years,6,231400,,1985673798,Boomers
Albania,1994,male,35-54 years,9,362800,,1985673798,Boomers
Albania,1994,male,15-24 years,6,242200,,1985673798,Generation X
Albania,1994,female,15-24 years,6,282600,,1985673798,Generation X
Albania,1994,female,25-34 years,4,261100,,1985673798,Boomers
Albania,1994,female,35-54 years,2,342500,,1985673798,Boomers
Albania,1994,female,55-74 years,1,174600,,1985673798,Silent
Albania,1994,male,5-14 years,1,371800,,1985673798,Millenials
Albania,1994,female,5-14 years,0,344400,,1985673798,Millenials
Albania,1995,male,25-34 years,13,232900,61.90%,2424499009,Generation X
Albania,1995,male,55-74 years,9,178000,61.90%,2424499009,Silent
Albania,1995,female,75+ years,2,40800,61.90%,2424499009,G.I. Generation
Albania,1995,female,15-24 years,13,283500,61.90%,2424499009,Generation X
Albania,1995,male,15-24 years,11,241200,61.90%,2424499009,Generation X
Albania,1995,male,75+ years,1,25100,61.90%,2424499009,G.I. Generation
Albania,1995,male,35-54 years,14,375900,61.90%,2424499009,Boomers
Albania,1995,female,25-34 years,7,264000,61.90%,2424499009,Generation X
Albania,1995,female,35-54 years,8,356400,61.90%,2424499009,Boomers
Albania,1995,male,5-14 years,6,376500,61.90%,2424499009,Millenials
Albania,1995,female,55-74 years,2,180400,61.90%,2424499009,Silent
Albania,1995,female,5-14 years,2,348700,61.90%,2424499009,Millenials
Albania,1996,male,75+ years,2,25400,,3314898292,G.I. Generation
Albania,1996,male,15-24 years,17,243600,,3314898292,Generation X
Albania,1996,male,25-34 years,14,235300,,3314898292,Generation X
Albania,1996,female,15-24 years,16,287700,,3314898292,Generation X
Albania,1996,female,75+ years,2,41200,,3314898292,G.I. Generation
Albania,1996,female,25-34 years,10,267900,,3314898292,Generation X
Albania,1996,male,35-54 years,12,379600,,3314898292,Boomers
Albania,1996,female,35-54 years,9,362000,,3314898292,Boomers
Albania,1996,male,55-74 years,3,179900,,3314898292,Silent
Albania,1996,female,55-74 years,1,183100,,3314898292,Silent
Albania,1996,male,5-14 years,2,380400,,3314898292,Millenials
Albania,1996,female,5-14 years,1,354100,,3314898292,Millenials
Albania,1997,male,25-34 years,36,236000,,2359903108,Generation X
Albania,1997,male,15-24 years,33,244400,,2359903108,Generation X
Albania,1997,male,75+ years,3,25400,,2359903108,G.I. Generation
Albania,1997,male,35-54 years,30,380800,,2359903108,Boomers
Albania,1997,female,15-24 years,21,294000,,2359903108,Generation X
Albania,1997,male,55-74 years,12,180300,,2359903108,Silent
Albania,1997,female,25-34 years,16,273900,,2359903108,Generation X
Albania,1997,female,75+ years,2,42100,,2359903108,G.I. Generation
Albania,1997,female,35-54 years,7,370100,,2359903108,Boomers
Albania,1997,female,5-14 years,6,361800,,2359903108,Millenials
Albania,1997,male,5-14 years,4,381500,,2359903108,Millenials
Albania,1997,female,55-74 years,0,187000,,2359903108,Silent
Albania,1998,male,75+ years,3,25800,,2707123772,G.I. Generation
Albania,1998,male,15-24 years,27,248800,,2707123772,Generation X
Albania,1998,female,15-24 years,32,295600,,2707123772,Generation X
Albania,1998,male,25-34 years,26,240400,,2707123772,Generation X
Albania,1998,male,35-54 years,29,388200,,2707123772,Boomers
Albania,1998,male,55-74 years,9,183800,,2707123772,Silent
Albania,1998,female,25-34 years,10,275300,,2707123772,Generation X
Albania,1998,female,55-74 years,6,188200,,2707123772,Silent
Albania,1998,female,35-54 years,9,372100,,2707123772,Boomers
Albania,1998,male,5-14 years,2,388400,,2707123772,Millenials
Albania,1998,female,5-14 years,1,363800,,2707123772,Millenials
Albania,1998,female,75+ years,0,42300,,2707123772,G.I. Generation
Albania,1999,male,75+ years,3,25900,,3414760915,G.I. Generation
Albania,1999,male,15-24 years,24,250600,,3414760915,Generation X
Albania,1999,female,75+ years,4,42400,,3414760915,G.I. Generation
Albania,1999,male,35-54 years,31,391100,,3414760915,Boomers
Albania,1999,male,25-34 years,19,242300,,3414760915,Generation X
Albania,1999,male,55-74 years,14,185200,,3414760915,Silent
Albania,1999,female,15-24 years,19,296800,,3414760915,Generation X
Albania,1999,female,25-34 years,13,276500,,3414760915,Generation X
Albania,1999,female,55-74 years,6,188800,,3414760915,Silent
Albania,1999,female,35-54 years,5,373600,,3414760915,Boomers
Albania,1999,female,5-14 years,1,365200,,3414760915,Millenials
Albania,1999,male,5-14 years,0,391300,,3414760915,Millenials
Albania,2000,male,25-34 years,17,232000,65.60%,3632043908,Generation X
Albania,2000,male,55-74 years,10,177400,65.60%,3632043908,Silent
Albania,2000,female,75+ years,2,37800,65.60%,3632043908,G.I. Generation
Albania,2000,male,75+ years,1,24900,65.60%,3632043908,G.I. Generation
Albania,2000,female,15-24 years,6,263900,65.60%,3632043908,Generation X
Albania,2000,male,15-24 years,5,240000,65.60%,3632043908,Generation X
Albania,2000,female,35-54 years,5,332200,65.60%,3632043908,Boomers
Albania,2000,female,25-34 years,3,245800,65.60%,3632043908,Generation X
Albania,2000,male,35-54 years,4,374700,65.60%,3632043908,Boomers
Albania,2000,male,5-14 years,1,374900,65.60%,3632043908,Millenials
Albania,2000,female,5-14 years,0,324700,65.60%,3632043908,Millenials
Albania,2000,female,55-74 years,0,168000,65.60%,3632043908,Silent
Albania,2001,male,25-34 years,22,206484,,4060758804,Generation X
Albania,2001,male,35-54 years,34,378826,,4060758804,Boomers
Albania,2001,male,55-74 years,11,196670,,4060758804,Silent
Albania,2001,female,75+ years,2,47254,,4060758804,Silent
Albania,2001,male,15-24 years,10,256039,,4060758804,Millenials
Albania,2001,female,15-24 years,9,271359,,4060758804,Millenials
Albania,2001,female,35-54 years,12,370191,,4060758804,Boomers
Albania,2001,male,75+ years,1,31044,,4060758804,Silent
Albania,2001,female,55-74 years,6,189799,,4060758804,Silent
Albania,2001,male,5-14 years,6,321556,,4060758804,Millenials
Albania,2001,female,25-34 years,4,222771,,4060758804,Generation X
Albania,2001,female,5-14 years,2,307356,,4060758804,Millenials
Albania,2002,male,75+ years,4,31007,,4435078648,Silent
Albania,2002,male,25-34 years,23,206286,,4435078648,Generation X
Albania,2002,male,35-54 years,35,382139,,4435078648,Boomers
Albania,2002,male,55-74 years,13,198130,,4435078648,Silent
Albania,2002,male,15-24 years,15,263067,,4435078648,Millenials
Albania,2002,female,15-24 years,14,275970,,4435078648,Millenials
Albania,2002,female,35-54 years,15,375113,,4435078648,Boomers
Albania,2002,female,25-34 years,7,223685,,4435078648,Generation X
Albania,2002,female,75+ years,1,47407,,4435078648,Silent
Albania,2002,female,55-74 years,4,191712,,4435078648,Silent
Albania,2002,female,5-14 years,1,304850,,4435078648,Millenials
Albania,2002,male,5-14 years,1,319473,,4435078648,Millenials
Albania,2003,female,75+ years,6,49088,,5746945913,Silent
Albania,2003,male,55-74 years,16,201520,,5746945913,Silent
Albania,2003,male,35-54 years,28,386196,,5746945913,Boomers
Albania,2003,male,15-24 years,15,273235,,5746945913,Millenials
Albania,2003,female,15-24 years,14,283709,,5746945913,Millenials
Albania,2003,female,55-74 years,9,195699,,5746945913,Silent
Albania,2003,male,25-34 years,9,205433,,5746945913,Generation X
Albania,2003,female,25-34 years,9,222941,,5746945913,Generation X
Albania,2003,female,35-54 years,13,381760,,5746945913,Boomers
Albania,2003,male,75+ years,1,32667,,5746945913,Silent
Albania,2003,male,5-14 years,4,313204,,5746945913,Millenials
Albania,2003,female,5-14 years,0,298477,,5746945913,Millenials
Albania,2004,male,75+ years,4,35526,,7314865176,Silent
Albania,2004,male,35-54 years,39,391767,,7314865176,Boomers
Albania,2004,male,25-34 years,16,203938,,7314865176,Generation X
Albania,2004,female,15-24 years,20,292268,,7314865176,Millenials
Albania,2004,male,15-24 years,19,286768,,7314865176,Millenials
Albania,2004,female,75+ years,3,50970,,7314865176,Silent
Albania,2004,female,25-34 years,11,222389,,7314865176,Generation X
Albania,2004,male,55-74 years,10,207202,,7314865176,Silent
Albania,2004,female,35-54 years,17,391436,,7314865176,Boomers
Albania,2004,female,55-74 years,3,203841,,7314865176,Silent
Albania,2004,female,5-14 years,3,286705,,7314865176,Millenials
Albania,2004,male,5-14 years,1,302181,,7314865176,Millenials
Albania,2005,female,15-24 years,0,281922,69.50%,8158548717,Millenials
Albania,2005,female,25-34 years,0,190745,69.50%,8158548717,Generation X
Albania,2005,female,35-54 years,0,386513,69.50%,8158548717,Boomers
Albania,2005,female,5-14 years,0,276559,69.50%,8158548717,Millenials
Albania,2005,female,55-74 years,0,210998,69.50%,8158548717,Silent
Albania,2005,female,75+ years,0,53191,69.50%,8158548717,Silent
Albania,2005,male,15-24 years,0,281675,69.50%,8158548717,Millenials
Albania,2005,male,25-34 years,0,177519,69.50%,8158548717,Generation X
Albania,2005,male,35-54 years,0,380242,69.50%,8158548717,Boomers
Albania,2005,male,5-14 years,0,291367,69.50%,8158548717,Millenials
Albania,2005,male,55-74 years,0,214118,69.50%,8158548717,Silent
Albania,2005,male,75+ years,0,38471,69.50%,8158548717,Silent
Albania,2006,female,15-24 years,0,283138,,8992642349,Millenials
Albania,2006,female,25-34 years,0,186391,,8992642349,Generation X
Albania,2006,female,35-54 years,0,388746,,8992642349,Boomers
Albania,2006,female,5-14 years,0,267316,,8992642349,Millenials
Albania,2006,female,55-74 years,0,215907,,8992642349,Silent
Albania,2006,female,75+ years,0,56011,,8992642349,Silent
Albania,2006,male,15-24 years,0,286679,,8992642349,Millenials
Albania,2006,male,25-34 years,0,174092,,8992642349,Generation X
Albania,2006,male,35-54 years,0,379076,,8992642349,Boomers
Albania,2006,male,5-14 years,0,282678,,8992642349,Millenials
Albania,2006,male,55-74 years,0,219360,,8992642349,Silent
Albania,2006,male,75+ years,0,40782,,8992642349,Silent
Albania,2007,male,75+ years,8,42366,,10701011897,Silent
Albania,2007,male,35-54 years,29,378626,,10701011897,Boomers
Albania,2007,male,55-74 years,14,224160,,10701011897,Silent
Albania,2007,female,75+ years,3,57404,,10701011897,Silent
Albania,2007,male,25-34 years,9,172494,,10701011897,Generation X
Albania,2007,female,15-24 years,13,281080,,10701011897,Millenials
Albania,2007,male,15-24 years,13,288349,,10701011897,Millenials
Albania,2007,female,25-34 years,8,183629,,10701011897,Generation X
Albania,2007,female,55-74 years,9,221120,,10701011897,Silent
Albania,2007,female,35-54 years,14,391811,,10701011897,Boomers
Albania,2007,male,5-14 years,4,272497,,10701011897,Generation Z
Albania,2007,female,5-14 years,0,256808,,10701011897,Generation Z
Albania,2008,male,25-34 years,21,172855,,12881352688,Generation X
Albania,2008,male,35-54 years,37,377119,,12881352688,Boomers
Albania,2008,male,55-74 years,21,228672,,12881352688,Silent
Albania,2008,female,75+ years,5,59369,,12881352688,Silent
Albania,2008,female,15-24 years,20,276073,,12881352688,Millenials
Albania,2008,female,25-34 years,9,182663,,12881352688,Generation X
Albania,2008,female,35-54 years,19,393832,,12881352688,Boomers
Albania,2008,male,75+ years,2,44574,,12881352688,Silent
Albania,2008,male,15-24 years,11,286702,,12881352688,Millenials
Albania,2008,female,55-74 years,7,226448,,12881352688,Silent
Albania,2008,male,5-14 years,7,262464,,12881352688,Generation Z
Albania,2008,female,5-14 years,1,246288,,12881352688,Generation Z
Albania,2009,female,15-24 years,0,270003,,12044212904,Millenials
Albania,2009,female,25-34 years,0,182712,,12044212904,Generation X
Albania,2009,female,35-54 years,0,394286,,12044212904,Boomers
Albania,2009,female,5-14 years,0,236174,,12044212904,Generation Z
Albania,2009,female,55-74 years,0,233302,,12044212904,Silent
Albania,2009,female,75+ years,0,61582,,12044212904,Silent
Albania,2009,male,15-24 years,0,283448,,12044212904,Millenials
Albania,2009,male,25-34 years,0,174955,,12044212904,Generation X
Albania,2009,male,35-54 years,0,374365,,12044212904,Boomers
Albania,2009,male,5-14 years,0,253007,,12044212904,Generation Z
Albania,2009,male,55-74 years,0,234570,,12044212904,Silent
Albania,2009,male,75+ years,0,47331,,12044212904,Silent
Albania,2010,male,55-74 years,20,241852,72.20%,11926953259,Silent
Albania,2010,male,35-54 years,20,371611,72.20%,11926953259,Generation X
Albania,2010,male,25-34 years,9,179720,72.20%,11926953259,Generation X
Albania,2010,male,75+ years,2,50767,72.20%,11926953259,Silent
Albania,2010,male,15-24 years,10,279508,72.20%,11926953259,Millenials
Albania,2010,female,25-34 years,6,183579,72.20%,11926953259,Generation X
Albania,2010,female,75+ years,2,64415,72.20%,11926953259,Silent
Albania,2010,female,35-54 years,12,394593,72.20%,11926953259,Generation X
Albania,2010,female,55-74 years,7,241491,72.20%,11926953259,Silent
Albania,2010,female,15-24 years,6,263581,72.20%,11926953259,Millenials
Albania,2010,female,5-14 years,2,223969,72.20%,11926953259,Generation Z
Albania,2010,male,5-14 years,0,240939,72.20%,11926953259,Generation Z
Antigua and Barbuda,1985,female,15-24 years,0,7709,,240923926,Generation X
Antigua and Barbuda,1985,female,25-34 years,0,6344,,240923926,Boomers
Antigua and Barbuda,1985,female,35-54 years,0,6173,,240923926,Silent
Antigua and Barbuda,1985,female,5-14 years,0,7339,,240923926,Generation X
Antigua and Barbuda,1985,female,55-74 years,0,3778,,240923926,G.I. Generation
Antigua and Barbuda,1985,female,75+ years,0,949,,240923926,G.I. Generation
Antigua and Barbuda,1985,male,15-24 years,0,7667,,240923926,Generation X
Antigua and Barbuda,1985,male,25-34 years,0,6194,,240923926,Boomers
Antigua and Barbuda,1985,male,35-54 years,0,5970,,240923926,Silent
Antigua and Barbuda,1985,male,5-14 years,0,7304,,240923926,Generation X
Antigua and Barbuda,1985,male,55-74 years,0,2723,,240923926,G.I. Generation
Antigua and Barbuda,1985,male,75+ years,0,424,,240923926,G.I. Generation
Antigua and Barbuda,1986,female,15-24 years,0,7668,,290440148,Generation X
Antigua and Barbuda,1986,female,25-34 years,0,6209,,290440148,Boomers
Antigua and Barbuda,1986,female,35-54 years,0,6101,,290440148,Silent
Antigua and Barbuda,1986,female,5-14 years,0,6907,,290440148,Generation X
Antigua and Barbuda,1986,female,55-74 years,0,3764,,290440148,G.I. Generation
Antigua and Barbuda,1986,female,75+ years,0,1014,,290440148,G.I. Generation
Antigua and Barbuda,1986,male,15-24 years,0,7563,,290440148,Generation X
Antigua and Barbuda,1986,male,25-34 years,0,6023,,290440148,Boomers
Antigua and Barbuda,1986,male,35-54 years,0,5947,,290440148,Silent
Antigua and Barbuda,1986,male,5-14 years,0,6827,,290440148,Generation X
Antigua and Barbuda,1986,male,55-74 years,0,2771,,290440148,G.I. Generation
Antigua and Barbuda,1986,male,75+ years,0,476,,290440148,G.I. Generation
Antigua and Barbuda,1987,female,15-24 years,0,7583,,337174852,Generation X
Antigua and Barbuda,1987,female,25-34 years,0,6101,,337174852,Boomers
Antigua and Barbuda,1987,female,35-54 years,0,6059,,337174852,Silent
Antigua and Barbuda,1987,female,5-14 years,0,6623,,337174852,Generation X
Antigua and Barbuda,1987,female,55-74 years,0,3738,,337174852,G.I. Generation
Antigua and Barbuda,1987,female,75+ years,0,1081,,337174852,G.I. Generation
Antigua and Barbuda,1987,male,15-24 years,0,7421,,337174852,Generation X
Antigua and Barbuda,1987,male,25-34 years,0,5893,,337174852,Boomers
Antigua and Barbuda,1987,male,35-54 years,0,5927,,337174852,Silent
Antigua and Barbuda,1987,male,5-14 years,0,6499,,337174852,Generation X
Antigua and Barbuda,1987,male,55-74 years,0,2798,,337174852,G.I. Generation
Antigua and Barbuda,1987,male,75+ years,0,538,,337174852,G.I. Generation
Antigua and Barbuda,1988,female,15-24 years,0,7413,,398637741,Generation X
Antigua and Barbuda,1988,female,25-34 years,0,6041,,398637741,Boomers
Antigua and Barbuda,1988,female,35-54 years,0,6021,,398637741,Silent
Antigua and Barbuda,1988,female,5-14 years,0,6527,,398637741,Generation X
Antigua and Barbuda,1988,female,55-74 years,0,3708,,398637741,G.I. Generation
Antigua and Barbuda,1988,female,75+ years,0,1141,,398637741,G.I. Generation
Antigua and Barbuda,1988,male,15-24 years,0,7209,,398637741,Generation X
Antigua and Barbuda,1988,male,25-34 years,0,5826,,398637741,Boomers
Antigua and Barbuda,1988,male,35-54 years,0,5907,,398637741,Silent
Antigua and Barbuda,1988,male,5-14 years,0,6355,,398637741,Generation X
Antigua and Barbuda,1988,male,55-74 years,0,2813,,398637741,G.I. Generation
Antigua and Barbuda,1988,male,75+ years,0,603,,398637741,G.I. Generation
Antigua and Barbuda,1989,female,15-24 years,0,7152,,438794778,Generation X
Antigua and Barbuda,1989,female,25-34 years,0,6059,,438794778,Boomers
Antigua and Barbuda,1989,female,35-54 years,0,5969,,438794778,Silent
Antigua and Barbuda,1989,female,5-14 years,0,6621,,438794778,Generation X
Antigua and Barbuda,1989,female,55-74 years,0,3696,,438794778,G.I. Generation
Antigua and Barbuda,1989,female,75+ years,0,1195,,438794778,G.I. Generation
Antigua and Barbuda,1989,male,15-24 years,0,6927,,438794778,Generation X
Antigua and Barbuda,1989,male,25-34 years,0,5835,,438794778,Boomers
Antigua and Barbuda,1989,male,35-54 years,0,5862,,438794778,Silent
Antigua and Barbuda,1989,male,5-14 years,0,6403,,438794778,Generation X
Antigua and Barbuda,1989,male,55-74 years,0,2843,,438794778,G.I. Generation
Antigua and Barbuda,1989,male,75+ years,0,676,,438794778,G.I. Generation
Antigua and Barbuda,1990,male,35-54 years,1,5799,,459469074,Silent
Antigua and Barbuda,1990,female,15-24 years,0,6827,,459469074,Generation X
Antigua and Barbuda,1990,female,25-34 years,0,6172,,459469074,Boomers
Antigua and Barbuda,1990,female,35-54 years,0,5895,,459469074,Silent
Antigua and Barbuda,1990,female,5-14 years,0,6877,,459469074,Generation X
Antigua and Barbuda,1990,female,55-74 years,0,3706,,459469074,G.I. Generation
Antigua and Barbuda,1990,female,75+ years,0,1252,,459469074,G.I. Generation
Antigua and Barbuda,1990,male,15-24 years,0,6598,,459469074,Generation X
Antigua and Barbuda,1990,male,25-34 years,0,5937,,459469074,Boomers
Antigua and Barbuda,1990,male,5-14 years,0,6611,,459469074,Generation X
Antigua and Barbuda,1990,male,55-74 years,0,2902,,459469074,G.I. Generation
Antigua and Barbuda,1990,male,75+ years,0,758,,459469074,G.I. Generation
Antigua and Barbuda,1991,female,15-24 years,0,6595,,481706333,Generation X
Antigua and Barbuda,1991,female,25-34 years,0,6396,,481706333,Boomers
Antigua and Barbuda,1991,female,35-54 years,0,6198,,481706333,Boomers
Antigua and Barbuda,1991,female,5-14 years,0,7089,,481706333,Millenials
Antigua and Barbuda,1991,female,55-74 years,0,3665,,481706333,Silent
Antigua and Barbuda,1991,female,75+ years,0,1293,,481706333,G.I. Generation
Antigua and Barbuda,1991,male,15-24 years,0,6401,,481706333,Generation X
Antigua and Barbuda,1991,male,25-34 years,0,6156,,481706333,Boomers
Antigua and Barbuda,1991,male,35-54 years,0,6122,,481706333,Boomers
Antigua and Barbuda,1991,male,5-14 years,0,6818,,481706333,Millenials
Antigua and Barbuda,1991,male,55-74 years,0,2857,,481706333,Silent
Antigua and Barbuda,1991,male,75+ years,0,804,,481706333,G.I. Generation
Antigua and Barbuda,1992,female,15-24 years,0,6369,,499281148,Generation X
Antigua and Barbuda,1992,female,25-34 years,0,6650,,499281148,Boomers
Antigua and Barbuda,1992,female,35-54 years,0,6534,,499281148,Boomers
Antigua and Barbuda,1992,female,5-14 years,0,7311,,499281148,Millenials
Antigua and Barbuda,1992,female,55-74 years,0,3648,,499281148,Silent
Antigua and Barbuda,1992,female,75+ years,0,1339,,499281148,G.I. Generation
Antigua and Barbuda,1992,male,15-24 years,0,6221,,499281148,Generation X
Antigua and Barbuda,1992,male,25-34 years,0,6409,,499281148,Boomers
Antigua and Barbuda,1992,male,35-54 years,0,6497,,499281148,Boomers
Antigua and Barbuda,1992,male,5-14 years,0,7059,,499281148,Millenials
Antigua and Barbuda,1992,male,55-74 years,0,2851,,499281148,Silent
Antigua and Barbuda,1992,male,75+ years,0,853,,499281148,G.I. Generation
Antigua and Barbuda,1993,male,25-34 years,1,6668,,535172778,Boomers
Antigua and Barbuda,1993,female,15-24 years,0,6182,,535172778,Generation X
Antigua and Barbuda,1993,female,25-34 years,0,6914,,535172778,Boomers
Antigua and Barbuda,1993,female,35-54 years,0,6917,,535172778,Boomers
Antigua and Barbuda,1993,female,5-14 years,0,7529,,535172778,Millenials
Antigua and Barbuda,1993,female,55-74 years,0,3662,,535172778,Silent
Antigua and Barbuda,1993,female,75+ years,0,1386,,535172778,G.I. Generation
Antigua and Barbuda,1993,male,15-24 years,0,6069,,535172778,Generation X
Antigua and Barbuda,1993,male,35-54 years,0,6915,,535172778,Boomers
Antigua and Barbuda,1993,male,5-14 years,0,7298,,535172778,Millenials
Antigua and Barbuda,1993,male,55-74 years,0,2879,,535172778,Silent
Antigua and Barbuda,1993,male,75+ years,0,896,,535172778,G.I. Generation
Antigua and Barbuda,1994,female,15-24 years,0,6083,,589429593,Generation X
Antigua and Barbuda,1994,female,25-34 years,0,7151,,589429593,Boomers
Antigua and Barbuda,1994,female,35-54 years,0,7357,,589429593,Boomers
Antigua and Barbuda,1994,female,5-14 years,0,7722,,589429593,Millenials
Antigua and Barbuda,1994,female,55-74 years,0,3715,,589429593,Silent
Antigua and Barbuda,1994,female,75+ years,0,1437,,589429593,G.I. Generation
Antigua and Barbuda,1994,male,15-24 years,0,5976,,589429593,Generation X
Antigua and Barbuda,1994,male,25-34 years,0,6886,,589429593,Boomers
Antigua and Barbuda,1994,male,35-54 years,0,7359,,589429593,Boomers
Antigua and Barbuda,1994,male,5-14 years,0,7494,,589429593,Millenials
Antigua and Barbuda,1994,male,55-74 years,0,2935,,589429593,Silent
Antigua and Barbuda,1994,male,75+ years,0,929,,589429593,G.I. Generation
Antigua and Barbuda,1995,female,15-24 years,0,6099,,577280741,Generation X
Antigua and Barbuda,1995,female,25-34 years,0,7333,,577280741,Generation X
Antigua and Barbuda,1995,female,35-54 years,0,7851,,577280741,Boomers
Antigua and Barbuda,1995,female,5-14 years,0,7885,,577280741,Millenials
Antigua and Barbuda,1995,female,55-74 years,0,3808,,577280741,Silent
Antigua and Barbuda,1995,female,75+ years,0,1488,,577280741,G.I. Generation
Antigua and Barbuda,1995,male,15-24 years,0,5953,,577280741,Generation X
Antigua and Barbuda,1995,male,25-34 years,0,7023,,577280741,Generation X
Antigua and Barbuda,1995,male,35-54 years,0,7809,,577280741,Boomers
Antigua and Barbuda,1995,male,5-14 years,0,7632,,577280741,Millenials
Antigua and Barbuda,1995,male,55-74 years,0,3021,,577280741,Silent
Antigua and Barbuda,1995,male,75+ years,0,944,,577280741,G.I. Generation
Antigua and Barbuda,1998,female,15-24 years,0,6529,,727860593,Generation X
Antigua and Barbuda,1998,female,25-34 years,0,8332,,727860593,Generation X
Antigua and Barbuda,1998,female,35-54 years,0,9615,,727860593,Boomers
Antigua and Barbuda,1998,female,5-14 years,0,8183,,727860593,Millenials
Antigua and Barbuda,1998,female,55-74 years,0,3921,,727860593,Silent
Antigua and Barbuda,1998,female,75+ years,0,1476,,727860593,G.I. Generation
Antigua and Barbuda,1998,male,15-24 years,0,5916,,727860593,Generation X
Antigua and Barbuda,1998,male,25-34 years,0,7294,,727860593,Generation X
Antigua and Barbuda,1998,male,35-54 years,0,9086,,727860593,Boomers
Antigua and Barbuda,1998,male,5-14 years,0,7706,,727860593,Millenials
Antigua and Barbuda,1998,male,55-74 years,0,3213,,727860593,Silent
Antigua and Barbuda,1998,male,75+ years,0,954,,727860593,G.I. Generation
Antigua and Barbuda,1999,female,15-24 years,0,6589,,766198926,Generation X
Antigua and Barbuda,1999,female,25-34 years,0,8526,,766198926,Generation X
Antigua and Barbuda,1999,female,35-54 years,0,10311,,766198926,Boomers
Antigua and Barbuda,1999,female,5-14 years,0,8314,,766198926,Millenials
Antigua and Barbuda,1999,female,55-74 years,0,3968,,766198926,Silent
